"seconds","M_10005","M_10006","average","SE"
0.84,0.233714883981357,-2.09145009785975,-0.928867606939196,1.16258249092055
0.85,0.324657246168158,-2.09800737596494,-0.886675064898391,1.21133231106655
0.86,0.409848134084984,-2.09637884633092,-0.843265356122968,1.25311349020795
0.87,0.488847744019577,-2.08644863292722,-0.79880044445382,1.2876481884734
0.88,0.561271295281877,-2.06814895829334,-0.753438831505733,1.31471012678761
0.89,0.626791774342649,-2.04145935015489,-0.707333787906119,1.33412556224877
0.9,0.685141958859254,-2.00640561024164,-0.660631825691194,1.34577378455045
0.91,0.73611570402892,-1.96305857762108,-0.61347143679608,1.349587140825
0.92,0.779568488770876,-1.91153272146522,-0.56598211634717,1.34555060511805
0.93,0.815417225968449,-1.85198459711774,-0.518283685574647,1.3337009115431
0.94,0.843639350502654,-1.78461119754826,-0.470485923522805,1.31412527402546
0.95,0.864271212409673,-1.70964822981323,-0.42268850870178,1.28695972111145
0.96,0.877405812719419,-1.62736834236785,-0.374981264824218,1.25238707754364
0.97,0.883189926986285,-1.53807932580731,-0.327444699410512,1.2106346263968
0.98,0.881820669680805,-1.44212230020253,-0.280150815260865,1.16197148494167
0.99,0.873541561345645,-1.33986989670113,-0.233164167677743,1.10670572902339
1,0.858638167314619,-1.2317244391705,-0.186543135927943,1.04518130324256
1.01,0.837433382493697,-1.11811612632483,-0.140341371915566,0.977774754409262
1.02,0.810282440251684,-0.999501211435069,-0.0946093855916928,0.904891825843377
1.03,0.777567727291492,-0.876360170275506,-0.0493962214920071,0.826963948783499
1.04,0.739693488849564,-0.74919584639261,-0.00475117877152298,0.744444667621087
1.05,0.697080506391131,-0.618531561349019,0.0392744725210561,0.657806033870075
1.06,0.650160825934567,-0.484909174468999,0.0826258257327841,0.567535000201782
1.07,0.599372610887115,-0.3488870768289,0.125242767029107,0.474129843858007
1.08,0.545155189973289,-0.211038100044816,0.167058544964236,0.378096645009052
1.09,0.487944368071605,-0.0719473203020735,0.207998523884766,0.279945844186839
1.1,0.428168063439903,0.0677902595532294,0.247979161496566,0.180188901943337
1.11,0.366242328195463,0.207572165351386,0.286907246773424,0.079335081422038
1.12,0.302567799126978,0.346791054389328,0.324679426758153,0.0221116276311752
1.13,0.237526615703466,0.484837473142497,0.361182044422982,0.123655428719516
1.14,0.17147983358047,0.621102774895329,0.3962913042379,0.22481147065743
1.15,0.104765352745791,0.754982195804322,0.429873774275057,0.325108421529266
1.16,0.0376963704785308,0.885878080609353,0.461787225543942,0.424090855065411
1.17,-0.0294396438636034,1.01320324412753,0.491881800131962,0.521321443995565
1.18,-0.0963814650573378,1.1363844491117,0.520001492027179,0.616382957084517
1.19,-0.162894136872017,1.25486597592012,0.545985919524051,0.708880056396068
1.2,-0.22876853182708,1.36811325436385,0.569672361268383,0.798440893095463
1.21,-0.293820478760967,1.47561652367954,0.590898022459288,0.884718501220255
1.22,-0.357889497972839,1.57689448084462,0.609502491435891,0.967391989408731
1.23,-0.420837191113359,1.67149786919192,0.625330339039279,1.04616753015264
1.24,-0.482545339043744,1.75901295844647,0.638233809701365,1.12077914874511
1.25,-0.54291376853064,1.83906486753612,0.648075549502742,1.19098931803338
1.26,-0.601858050831678,1.911320678605,0.654731313886662,1.25658936471834
1.27,-0.659307091191703,1.97549229134696,0.658092600077627,1.31739969126933
1.28,-0.715200667963146,2.03133896524192,0.658069148639385,1.37326981660253
1.29,-0.769486981545222,2.07866949674781,0.654591257601292,1.42407823914651
1.3,-0.822120273847632,2.1173439823874,0.647611854269883,1.46973212811751
1.31,-0.873058575782168,2.14727512401006,0.637108274113947,1.51016684989611
1.32,-0.922261633429574,2.16842904011024,0.623083703340335,1.54534533676991
1.33,-0.969689056451473,2.1808255521144,0.605568247831465,1.57525730428294
1.34,-1.01529872780844,2.18453791916661,0.584619595679083,1.59991832348752
1.35,-1.05904550970385,2.17969200389789,0.560323247097021,1.61936875680087
1.36,-1.10088027424558,2.1664648604463,0.532792293100363,1.63367256734594
1.37,-1.1407492790433,2.14508274718323,0.502166734069964,1.64291601311327
1.38,-1.17859389571821,2.11581857578349,0.468612340032639,1.64720623575085
1.39,-1.21435069081631,2.0789888168587,0.432319063021198,1.64666975383751
1.4,-1.24795185516915,2.03494989414001,0.393499019485428,1.64145087465458
1.41,-1.27932597071354,1.98409410739559,0.352384068341024,1.63171003905457
1.42,-1.30839909424863,1.92684512864023,0.3092230171958,1.61762211144443
1.43,-1.33509612898216,1.86365312699035,0.264278499004094,1.59937462798626
1.44,-1.35934244914471,1.79498958771122,0.217823569283254,1.57716601842796
1.45,-1.38106573849829,1.7213418947115,0.170138078106608,1.55120381660489
1.46,-1.40019799802443,1.64320775154765,0.12150487676161,1.52170287478604
1.47,-1.4166776760636,1.56108952067606,0.0722059223062266,1.48888359836983
1.48,-1.43045186906706,1.47548856653792,0.0225183487354289,1.45297021780249
1.49,-1.44147853817642,1.38689968985196,-0.0272894241622293,1.41418911401419
