"","seconds","X1","X2","X3","X4","average","SE"
"184",-0.17,-4.43292061012581,1.96483398787179,-2.87359363565437,-5.82903406013853,-2.79267857951173,1.69681863101826
"185",-0.16,-4.29047834696785,1.43920518071189,-2.86269170546114,-5.51938432279245,-2.80833729862739,1.51633026222697
"186",-0.15,-4.14489584230726,0.916922966607925,-2.85702901662067,-5.2115064223817,-2.82412707867543,1.33667959999695
"187",-0.14,-3.99650347851312,0.403097196813557,-2.857070034099,-4.90841179392909,-2.83972202743191,1.15951851178434
"188",-0.13,-3.8456757459366,-0.0972020030733225,-2.86326087606272,-4.61310593157188,-2.85481113916113,0.98648757347587
"189",-0.12,-3.69283093850735,-0.57900145013942,-2.87601964315298,-4.32855042855611,-2.86910061508896,0.819203244113867
"190",-0.11,-3.5384303522107,-1.03748121807804,-2.89572661203645,-4.05762491780848,-2.88231577503342,0.659256671851023
"191",-0.0999999999999999,-3.38297694954074,-1.4680293325976,-2.92271446597362,-3.80308941589722,-2.89420254100229,0.508245242971284
"192",-0.0899999999999999,-3.22701346740153,-1.86629415846788,-2.95725874606709,-3.56754757580026,-2.90452848693419,0.367910980612377
"193",-0.0800000000000001,-3.07111995476334,-2.22823382288769,-2.99956870393655,-3.35341134993458,-2.91308345788054,0.2407216420133
"194",-0.0700000000000001,-2.9159107375122,-2.55016205442914,-3.04977873266776,-3.16286755549119,-2.91967977002507,0.133111352767129
"195",-0.0600000000000001,-2.76203081142757,-2.82878986121548,-3.10794055648479,-2.99784681294701,-2.92415201051872,0.0788386412489417
"196",-0.05,-2.61015167095964,-3.06126253145696,-3.1740163518531,-2.85999530101687,-2.92635646382164,0.12380237685598
"197",-0.04,-2.460966597957,-3.24519150687289,-3.24787295471036,-2.75064974388116,-2.92617020085535,0.194183993181953
"198",-0.03,-2.31518544441709,-3.37868074968466,-3.32927729666503,-2.67081600396167,-2.92348987368211,0.259123607786906
"199",-0.02,-2.17352894729766,-3.46034728768313,-3.41789319917838,-2.62115160824032,-2.91823026059987,0.314429336916409
"200",-0.01,-2.03672262438104,-3.48933570276701,-3.51327963878845,-2.60195249476762,-2.91032261517603,0.360217804830503
"201",0,-1.90549031913964,-3.46532641287266,-3.61489057972888,-2.61314421259043,-2.8997128810829,0.398120366265322
"202",0.0100000000000002,-1.78054746203564,-3.38853767433467,-3.72207644088029,-2.65427774835451,-2.88635983140128,0.430821688444082
"203",0.02,-1.66259411910261,-3.25972131419183,-3.83408723021852,-2.72453008998284,-2.87023318837395,0.461910627055761
"204",0.0300000000000002,-1.55230791188336,-3.08015228004916,-3.9500773548021,-2.82270956892573,-2.85131177891509,0.49563788013472
"205",0.04,-1.45033689852203,-2.85161217458778,-4.06911208963089,-2.94726595674282,-2.82958177987088,0.536430077403551
"206",0.0499999999999998,-1.35729251081039,-2.57636702442714,-4.19017566311401,-3.09630523723842,-2.80503510889749,0.588196421683148
"207",0.0600000000000001,-1.27374264621697,-2.25713960697881,-4.31218088679532,-3.2676089136329,-2.777668013406,0.653676345518494
"208",0.0699999999999998,-1.20020501290457,-1.89707672575799,-4.43398022549558,-3.45865764008195,-2.74747990106002,0.73412659335668
"209",0.0800000000000001,-1.13714082463336,-1.49971188290552,-4.55437817672689,-3.66665890373642,-2.71447244700055,0.829434064973974
"210",0.0899999999999999,-1.0849489388607,-1.06892384464535,-4.67214480024404,-3.88857842636274,-2.67864900252821,0.938485023989288
"211",0.1,-1.04396052460342,-0.608891649187455,-4.78603022017755,-4.12117490644755,-2.64001432510399,1.05956232899678
"212",0.11,-1.0144343431181,-0.12404665462779,-4.89477990880145,-4.36103767841355,-2.59857464624022,1.19064491729065
"213",0.12,-0.996552722539572,0.380977745478401,-4.99715053958065,-4.6046268141095,-2.55433808268783,1.32959238180732
"214",0.13,-0.990418302351178,0.901398094304583,-5.09192617583731,-4.84831515427293,-2.50731538453921,1.47424549072822
"215",0.14,-0.996051612180838,1.43233388126059,-5.17793455198761,-5.08843172902238,-2.45752100298256,1.62247765589962
"216",0.15,-1.01338953575432,1.96886092945881,-5.25406319682344,-5.32130600427391,-2.40497445184821,1.77222179109283
"217",0.16,-1.04228470099243,2.50606450049631,-5.31927514970001,-5.54331238244699,-2.34970193316078,1.92148640960106
"218",0.17,-1.08250582410729,3.03909147035729,-5.37262402660677,-5.75091438350569,-2.29173819096561,2.06836781985193
"219",0.18,-1.1337390187451,3.56320095367548,-5.41326819417937,-5.94070792895365,-2.23112854705066,2.2110613979167
"220",0.19,-1.19559006641415,4.07381278616218,-5.44048382019951,-6.1094631536429,-2.16793106352359,2.34787297467334
"221",0.2,-1.26758763311506,4.56655330910315,-5.45367658117948,-6.25416419621107,-2.10221877535061,2.47723048416362
"222",0.21,-1.34918740518716,5.03729794104854,-5.45239181735093,-6.37204644786256,-2.03408193233803,2.59769565248037
"223",0.22,-1.43977710334558,5.48221007822829,-5.43632294835482,-6.46063077237879,-1.96363018646273,2.70797539052414
"224",0.23,-1.53868232115111,5.89777592608758,-5.40531799063943,-6.51775425031812,-1.89099465900527,2.80693254885242
"225",0.24,-1.64517311839793,6.28083492133173,-5.35938405112074,-6.54159704381838,-1.81632982300133,2.89359573146636
"226",0.25,-1.7584712904637,6.62860546185091,-5.298689707882,-6.53070503759938,-1.73981514352354,2.96716792051318
"227",0.26,-1.87775822696904,6.93870573183992,-5.22356521202993,-6.48400796911873,-1.66165641906945,3.02703372186651
"228",0.27,-2.00218326590998,7.20916947547243,-5.13450047200224,-6.40083281553088,-1.58208676949267,3.07276509570949
"229",0.28,-2.13087243227953,7.43845663940671,-5.03214081618065,-6.2809122680902,-1.50136721928592,3.10412548747247
"230",0.29,-2.26293744172794,7.62545887960484,-4.91728057550828,-6.12438819854617,-1.41978683404439,3.12107232424448
"231",0.3,-2.3974848498141,7.76949999001125,-4.79085456558767,-5.93181009337907,-1.3376623796924,3.12375788093206
"232",0.31,-2.53362522750231,7.87033137193925,-4.65392757184854,-5.70412849364955,-1.25533748026529,3.11252854948364
"233",0.32,-2.67048224796354,7.92812272960069,-4.50768197019604,-5.44268354438612,-1.17318125823625,3.08792256625651
"234",0.33,-2.80720156636363,7.94344823262838,-4.35340364705553,-5.14918882261467,-1.09158645085136,3.05066625762647
"235",0.34,-2.94295937680676,7.91726843785961,-4.19246641927248,-4.82571067268459,-1.01096700772605,3.00166884722773
"236",0.35,-3.07697053337648,7.85090831313749,-4.02631518386158,-4.47464334009478,-0.93175518604884,2.94201582080626
"237",0.36,-3.20849612487101,7.74603174640523,-3.85644804272303,-4.0986802550531,-0.854398169060478,2.87296074943949
"238",0.37,-3.33685040347955,7.60461296362368,-3.68439765544381,-3.70078186593221,-0.779354240307972,2.79591531400159
"239",0.38,-3.46140698256791,7.42890530675253,-3.51171209376409,-3.28414045565432,-0.707088556308447,2.712437031708
"240",0.39,-3.58160423130353,7.2214078400558,-3.33993548920195,-2.85214241231025,-0.638068573189981,2.62421384192596
"241",0.4,-3.69694980432548,6.98483026745546,-3.17058876594548,-2.40832845070779,-0.572759188380822,2.53304425574238
"242",0.41,-3.80702425259809,6.72205665115775,-3.00515074854615,-1.95635229539241,-0.511617661344726,2.44081123947243
"243",0.42,-3.91148366991405,6.43610842597934,-2.8450399302731,-1.49993835938456,-0.455088383398092,2.34944748311443
"244",0.43,-4.0100613478167,6.13010719507867,-2.69159717533339,-1.04283896987158,-0.40359757448575,2.26088940277993
"245",0.44,-4.10256843296015,5.8072377804313,-2.54606960594607,-0.58879169133142,-0.357547987451585,2.17701749775487
"246",0.45,-4.18889360052454,5.47071198378313,-2.40959591313214,-0.141477275477567,-0.317313701337778,2.09958201296228
"247",0.46,-4.26900176926232,5.12373348607971,-2.2831933143703,0.29552125632278,-0.283235085307532,2.0301156989169
"248",0.47,-4.34293188629657,4.76946428357483,-2.16774635390315,0.718757913404663,-0.255614010805057,1.96983988402125
"249",0.48,-4.41079381768999,4.4109930288412,-2.06399770965454,1.1249609559616,-0.23470938563543,1.9195752854415
"250",0.49,-4.47276439897665,4.05130560132363,-1.97254113603338,1.51106760514957,-0.220733082134207,1.87967306356167
"251",0.5,-4.52908271615194,3.69325818674363,-1.89381663338848,1.87425585917241,-0.213846325906094,1.84998202121493
"252",0.51,-4.58004469440407,3.33955310285312,-1.82810789371453,2.21197308132074,-0.214156600986184,1.82986282532507
"253",0.52,-4.62599708521454,2.99271756250305,-1.7755420393711,2.52196107565634,-0.22171512160656,1.81825040128854
"254",0.53,-4.66733094829627,2.65508551853648,-1.73609164117167,2.80227741227403,-0.236514914664357,1.81375469110624
"255",0.54,-4.70447472995402,2.32878268544194,-1.70957896316819,3.05131281521317,-0.258489548116775,1.81478221885435
"256",0.55,-4.7378870437944,2.0157147870683,-1.6956823444781,3.26780448521702,-0.287512528996794,1.81965909564171
"257",0.56,-4.76804925985942,1.71755903388381,-1.69394459535788,3.45084528868122,-0.323397383163067,1.82673982840402
"258",0.57,-4.7954580051674,1.43575878402089,-1.70378324818585,3.59988879912219,-0.365898417552543,1.83449291086555
"259",0.58,-4.82061767850119,1.17152130104738,-1.72450247185858,3.71475022608889,-0.414712155805875,1.84156071241368
"260",0.59,-4.84403308467533,0.925818478982515,-1.75530643017837,3.79560331498475,-0.46947943022161,1.84679582494471
"261",0.6,-4.86620228259832,0.699390372391299,-1.79531384758985,3.84297335187325,-0.529788101480906,1.84927836855424
"262",0.61,-4.88760973186159,0.492751341790217,-1.84357352596291,3.85772645371307,-0.595176365580303,1.84831927906931
"263",0.62,-4.90871981946804,0.306198590898442,-1.89908053952025,3.8410553633755,-0.665136601178588,1.84345405535137
"264",0.63,-4.92997084378265,0.139822846242126,-1.96079282631008,3.79446200554936,-0.73911970457531,1.8344304660525
"265",0.64,-4.95176952583652,-0.00647908998811458,-2.02764788931065,3.7197370916728,-0.816539853365621,1.82119269713708
"266",0.65,-4.97448610854323,-0.13299018871834,-2.0985793225684,3.61893709470013,-0.89677963128246,1.80386354977681
"267",0.66,-4.99845008688431,-0.240157730840468,-2.17253288392124,3.49435893612248,-0.979195441380886,1.78272562067306
"268",0.67,-5.02394660248584,-0.328576824581803,-2.24848184597007,3.34851273042512,-1.06312313565315,1.75820190122166
"269",0.68,-5.05121352609235,-0.398973196014057,-2.32544137038189,3.18409294425595,-1.14788378705809,1.7308358863975
"270",0.69,-5.08043923634114,-0.452185544018686,-2.4024816680677,3.00394833589603,-1.23278952813287,1.70127105149384
"271",0.7,-5.11176109951502,-0.489147740350371,-2.47873973105073,2.81105104015437,-1.31714938269044,1.6702294171201
"272",0.71,-5.14526464544642,-0.510871147502672,-2.55342945603228,2.60846515775712,-1.40027502280606,1.63848887467537
"273",0.72,-5.18098342499432,-0.518427300199008,-2.62585001209619,2.39931519540417,-1.48148638547134,1.60685900043202
"274",0.73,-5.21889951989377,-0.512931170485414,-2.69539233313749,2.1867546919717,-1.56011708288624,1.57615527068099
"275",0.74,-5.25894466273565,-0.495525220190787,-2.7615436439484,1.97393534809773,-1.63551954469427,1.54717192378962
"276",0.75,-5.30100192442578,-0.467364421766356,-2.82388996472898,1.76397695231871,-1.7070698396506,1.52065420069041
"277",0.76,-5.34490792412001,-0.42960240963348,-2.88211658169711,1.55993837525002,-1.77417213505015,1.49727128508278
"278",0.77,-5.3904555104836,-0.383378898297237,-2.93600651837631,1.36478988021579,-1.83626276173534,1.47759184606538
"279",0.78,-5.43739685125046,-0.329808465707208,-2.98543707727264,1.18138696948863,-1.89281385618542,1.46206448442497
"280",0.79,-5.48544686837032,-0.269970764584497,-3.03037454455664,1.01244595232442,-1.94333655629676,1.45100540895964
